data,count
660,579
664,580
662,581
659,582
657,583
665,584
663,585
661,586
660,587
664,588
665,589
663,590
663,591
665,592
670,593
669,594
668,595
669,596
676,597
676,598
676,599
675,600
679,601
681,602
678,603
676,604
674,605
673,606
666,607
657,608
649,609
641,610
629,611
614,612
598,613
585,614
569,615
548,616
528,617
512,618
499,619
484,620
470,621
457,622
447,623
435,624
423,625
413,626
407,627
402,628
396,629
391,630
388,631
387,632
384,633
381,634
378,635
378,636
376,637
375,638
371,639
371,640
371,641
368,642
366,643
364,644
366,645
364,646
361,647
360,648
362,649
361,650
359,651
358,652
358,653
361,654
359,655
358,656
358,657
362,658
360,659
358,660
357,661
359,662
360,663
358,664
357,665
358,666
361,667
358,668
358,669
357,670
360,671
360,672
358,673
358,674
360,675
361,676
359,677
358,678
359,679
362,680
360,681
359,682
359,683
362,684
362,685
360,686
359,687
361,688
364,689
363,690
362,691
364,692
368,693
368,694
368,695
370,696
376,697
379,698
380,699
383,700
387,701
392,702
392,703
395,704
399,705
407,706
409,707
411,708
414,709
420,710
425,711
426,712
428,713
432,714
439,715
440,716
440,717
442,718
448,719
449,720
449,721
449,722
453,723
457,724
455,725
454,726
456,727
460,728
459,729
458,730
458,731
462,732
462,733
461,734
461,735
463,736
466,737
465,738
465,739
466,740
470,741
470,742
468,743
468,744
472,745
473,746
473,747
472,748
475,749
478,750
477,751
476,752
476,753
481,754
480,755
480,756
480,757
483,758
484,759
483,760
482,761
484,762
487,763
485,764
484,765
484,766
488,767
486,768
484,769
484,770
485,771
486,772
484,773
483,774
483,775
485,776
482,777
480,778
478,779
480,780
479,781
476,782
474,783
475,784
476,785
474,786
471,787
471,788
474,789
470,790
468,791
466,792
469,793
468,794
465,795
463,796
465,797
467,798
464,799
462,800
462,801
466,802
463,803
460,804
457,805
459,806
458,807
453,808
449,809
447,810
447,811
441,812
434,813
430,814
430,815
424,816
418,817
411,818
408,819
404,820
397,821
391,822
388,823
387,824
381,825
376,826
373,827
374,828
371,829
369,830
366,831
367,832
368,833
365,834
363,835
363,836
366,837
364,838
362,839
362,840
364,841
364,842
362,843
361,844
362,845
365,846
363,847
362,848
363,849
366,850
364,851
363,852
363,853
366,854
366,855
365,856
363,857
365,858
367,859
366,860
365,861
365,862
368,863
368,864
367,865
368,866
370,867
372,868
371,869
371,870
373,871
376,872
376,873
376,874
376,875
380,876
381,877
382,878
384,879
388,880
391,881
393,882
396,883
400,884
406,885
409,886
412,887
416,888
422,889
426,890
428,891
431,892
435,893
438,894
439,895
440,896
444,897
452,898
457,899
464,900
473,901
485,902
498,903
508,904
521,905
537,906
553,907
570,908
583,909
596,910
611,911
620,912
628,913
635,914
644,915
648,916
652,917
654,918
658,919
663,920
663,921
661,922
662,923
666,924
665,925
663,926
662,927
665,928
667,929
664,930
662,931
662,932
667,933
664,934
661,935
661,936
665,937
664,938
662,939
659,940
662,941
665,942
661,943
657,944
657,945
661,946
658,947
653,948
652,949
655,950
655,951
650,952
645,953
646,954
648,955
644,956
640,957
639,958
644,959
641,960
636,961
634,962
636,963
637,964
633,965
629,966
629,967
633,968
629,969
625,970
623,971
630,972
629,973
625,974
623,975
628,976
630,977
628,978
625,979
627,980
632,981
629,982
627,983
626,984
631,985
630,986
627,987
625,988
628,989
630,990
628,991
624,992
625,993
630,994
627,995
625,996
623,997
629,998
628,999
