data,count
643,0
639,1
637,2
636,3
643,4
642,5
638,6
637,7
640,8
642,9
639,10
636,11
637,12
644,13
640,14
637,15
637,16
642,17
642,18
638,19
637,20
639,21
642,22
639,23
636,24
636,25
642,26
639,27
635,28
634,29
638,30
639,31
635,32
633,33
635,34
640,35
638,36
634,37
638,38
645,39
644,40
643,41
643,42
649,43
653,44
652,45
651,46
655,47
662,48
660,49
659,50
660,51
666,52
666,53
664,54
662,55
666,56
668,57
664,58
662,59
663,60
666,61
663,62
658,63
654,64
657,65
654,66
649,67
644,68
643,69
640,70
632,71
623,72
617,73
615,74
605,75
598,76
591,77
586,78
578,79
569,80
559,81
554,82
548,83
538,84
529,85
523,86
521,87
514,88
507,89
502,90
499,91
495,92
488,93
483,94
479,95
477,96
470,97
464,98
459,99
458,100
453,101
448,102
444,103
444,104
443,105
440,106
437,107
436,108
438,109
436,110
434,111
434,112
437,113
436,114
433,115
434,116
436,117
438,118
437,119
436,120
437,121
440,122
438,123
436,124
436,125
438,126
437,127
434,128
432,129
433,130
434,131
432,132
429,133
429,134
431,135
429,136
426,137
424,138
426,139
426,140
423,141
421,142
422,143
423,144
421,145
419,146
418,147
421,148
419,149
419,150
416,151
418,152
419,153
417,154
416,155
416,156
419,157
417,158
415,159
415,160
419,161
418,162
416,163
415,164
418,165
419,166
416,167
416,168
416,169
420,170
418,171
416,172
416,173
420,174
420,175
419,176
418,177
420,178
423,179
420,180
419,181
420,182
425,183
424,184
423,185
423,186
428,187
428,188
427,189
426,190
428,191
431,192
428,193
427,194
427,195
432,196
431,197
430,198
430,199
435,200
436,201
437,202
437,203
441,204
448,205
448,206
450,207
453,208
463,209
465,210
466,211
469,212
477,213
482,214
483,215
483,216
488,217
494,218
493,219
492,220
493,221
499,222
499,223
497,224
496,225
500,226
504,227
501,228
500,229
502,230
508,231
506,232
504,233
504,234
509,235
510,236
507,237
506,238
509,239
512,240
510,241
507,242
507,243
513,244
510,245
508,246
507,247
511,248
512,249
509,250
508,251
510,252
514,253
513,254
511,255
511,256
517,257
515,258
513,259
512,260
516,261
518,262
515,263
514,264
516,265
520,266
518,267
515,268
516,269
521,270
520,271
518,272
517,273
520,274
522,275
521,276
518,277
519,278
524,279
522,280
520,281
519,282
524,283
524,284
522,285
520,286
523,287
526,288
523,289
521,290
522,291
526,292
524,293
521,294
521,295
524,296
